#===============
# Experiment : CMS
# Search : CMS_PAS_EXO_19_014
# ll~ : muta
# qq~ : cc~
# FF  : vector
# XY  :  LL RR
# coef : 0 0
# type : S1*S1 S3*S3
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
# 200.0 250.0 300.0 350.0 400.0 450.0 500.0 550.0 600.0 650.0 725.0 800.0 900.0 1000.0 1100.0 1200.0 1300.0 1400.0 1550.0 1700.0 1850.0 2000.0 2200.0 2400.0 2700.0 3000.0 15000.0 
3.2872  200.0  300.0  0.02918	0.04848	0.01126	0.0006	0.00018	6e-05	2e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2.2002  300.0  400.0  0.0004	0.00694	0.07776	0.08744	0.0183	0.00138	0.00042	0.00012	4e-05	4e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.48074  400.0  500.0  0.0002	0.00038	0.0009	0.01526	0.10448	0.1037	0.02694	0.00252	0.00058	0.00028	0.0002	6e-05	6e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.98666  500.0  600.0  6e-05	0.00014	0.00044	0.0005	0.00216	0.02394	0.11636	0.1111	0.03334	0.00526	0.00088	0.00034	6e-05	4e-05	0.0	0.0	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.78528  600.0  725.0  2e-05	0.0001	0.00018	0.00036	0.00036	0.00062	0.00322	0.02934	0.10078	0.14362	0.03652	0.00476	0.00058	0.00024	8e-05	6e-05	2e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.31162  725.0  800.0  2e-05	4e-05	0.00012	0.00024	0.00016	0.00038	0.00062	0.00136	0.00426	0.05988	0.19616	0.07296	0.00568	0.0011	0.00026	0.00012	8e-05	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.2928  800.0  900.0  6e-05	0.0001	0.00016	0.0002	0.00028	0.00018	0.0004	0.00074	0.00104	0.00604	0.05624	0.2098	0.06386	0.0066	0.00156	0.00048	0.00014	0.00012	6e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	
0.195434  900.0  1000.0  0.0	0.00012	0.00012	8e-05	0.00012	0.00028	6e-05	0.00038	0.0004	0.0012	0.00536	0.07032	0.19824	0.07092	0.0101	0.00204	0.00072	0.00034	0.00012	0.0	8e-05	4e-05	0.0	0.0	0.0	0.0	
0.13214  1000.0  1100.0  2e-05	6e-05	0.00012	6e-05	0.00012	0.00014	0.00022	0.00022	0.00026	0.0006	0.0013	0.00932	0.07624	0.18262	0.0773	0.01378	0.003	0.00112	0.00024	0.00012	0.0001	0.0	0.0	2e-05	0.0	0.0	
0.08941  1100.0  1200.0  4e-05	6e-05	4e-05	4e-05	4e-05	0.00012	0.0001	0.00016	0.00016	0.00032	0.0008	0.00304	0.01322	0.08402	0.16764	0.07932	0.01826	0.00516	0.0014	0.00048	0.00016	6e-05	2e-05	0.0	0.0	2e-05	
0.102792  1200.0  1400.0  0.0	0.0	4e-05	2e-05	6e-05	8e-05	6e-05	0.00014	0.00018	0.00022	0.00032	0.00108	0.00256	0.0139	0.06104	0.12338	0.10294	0.05742	0.00942	0.00216	0.0005	0.00036	0.0001	6e-05	0.0	4e-05
0.062918  1400.0  1700.0  2e-05	2e-05	6e-05	4e-05	4e-05	6e-05	8e-05	4e-05	8e-05	0.00018	0.00028	0.00026	0.00072	0.0013	0.00482	0.01876	0.0533	0.13808	0.10416	0.0424	0.01226	0.00424	0.00092	0.00056	8e-05	2e-05	
0.021774  1700.0  2000.0  2e-05	6e-05	0.0	0.0	0.0001	6e-05	6e-05	6e-05	6e-05	8e-05	0.00014	0.00028	0.0003	0.00058	0.00082	0.00138	0.00378	0.02154	0.07344	0.1152	0.09242	0.05596	0.01732	0.00566	0.0007	0.00048	
0.009337  2000.0  2400.0  4e-05	0.0	4e-05	4e-05	2e-05	4e-05	8e-05	4e-05	0.0	2e-05	6e-05	0.0001	0.0001	0.0003	0.00024	0.00044	0.00078	0.00348	0.01028	0.02932	0.06032	0.11308	0.08802	0.057	0.01448	0.00572	
0.002244  2400.0  2700.0  2e-05	0.0	2e-05	2e-05	6e-05	6e-05	2e-05	2e-05	6e-05	0.00016	4e-05	0.0001	0.00016	0.00022	0.00028	0.0002	0.00026	0.00062	0.00164	0.00448	0.01252	0.03622	0.07024	0.1248	0.07118	0.04116	
0.000905  2700.0  3000.0  0.0	2e-05	4e-05	0.0	2e-05	2e-05	2e-05	4e-05	6e-05	0.00012	6e-05	4e-05	2e-05	0.00012	0.00012	0.00018	0.00022	0.0003	0.0007	0.00148	0.00358	0.01254	0.02832	0.082	0.09938	0.11792	
0.000667  3000.0  15000.0  0.0	2e-05	2e-05	2e-05	2e-05	0.0	4e-05	4e-05	0.0	4e-05	8e-05	2e-05	6e-05	4e-05	8e-05	8e-05	4e-05	0.0003	0.00024	0.00078	0.00128	0.0035	0.0081	0.02782	0.05296	0.22174	
