#===============
# Experiment : ATLAS
# Search : 1906_05609
# ll~ : muvm
# qq~ : ub~
# FF  : vector
# XY  :  LL RR
# coef : 0 0
# type : S1*S1 S3*S3
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
# 110.0 119.581 129.997 141.32 153.63 167.011 181.558 197.372 214.564 233.253 253.57 275.657 299.667 325.769 354.144 384.991 418.524 454.979 494.609 537.69 584.525 635.438 690.786 750.956 816.366 887.473 964.775 1048.81 1140.16 1239.47 1347.44 1464.8 1592.39 1731.09 1881.87 2045.79 2223.98 2417.69 2628.28 2857.21 3106.08 3376.63 3670.74 3990.47 4338.05 4715.91 5126.68 5573.22 6058.67 6586.39 7160.08 7783.74 8461.73 9198.76 10000.0 
1.22104  200.0  300.0  0.00682	0.01442	0.0212	0.02876	0.03668	0.04578	0.05812	0.07134	0.07242	0.06346	0.0494	0.02904	0.00766	0.00158	0.00072	0.00026	0.0001	0.00012	2e-05	2e-05	2e-05	6e-05	4e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.07482  300.0  400.0  0.003	0.00756	0.00988	0.01382	0.01752	0.02158	0.02616	0.03114	0.03814	0.04746	0.05814	0.07754	0.09108	0.08018	0.05448	0.02116	0.00388	0.00106	0.00036	0.00026	0.00016	6e-05	6e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.92128  400.0  500.0  0.00206	0.00434	0.00594	0.00726	0.01034	0.01296	0.01464	0.01786	0.022	0.02584	0.03234	0.03774	0.04666	0.0596	0.07808	0.10048	0.09136	0.05524	0.01626	0.00332	0.00114	0.0004	0.00024	8e-05	4e-05	6e-05	4e-05	0.0	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.77904  500.0  600.0  0.00148	0.00294	0.00396	0.00508	0.00602	0.0091	0.0099	0.01148	0.01456	0.01668	0.021	0.0229	0.02858	0.03562	0.0427	0.05376	0.06884	0.09218	0.10808	0.0757	0.0263	0.00566	0.00156	0.00042	0.00022	4e-05	4e-05	2e-05	0.0	4e-05	0.0	4e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.65392  600.0  700.0  0.00076	0.00146	0.0025	0.00366	0.00434	0.0054	0.00646	0.00786	0.00988	0.0117	0.0142	0.01646	0.01976	0.0246	0.0283	0.03428	0.0443	0.05426	0.07032	0.09492	0.11042	0.07546	0.02468	0.00556	0.00174	0.00058	0.0002	0.00014	0.0	6e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.5448  700.0  800.0  0.00052	0.00112	0.00208	0.00238	0.00306	0.00394	0.00548	0.00604	0.00688	0.00908	0.01054	0.01298	0.01528	0.01708	0.0201	0.0229	0.02914	0.03824	0.04628	0.05942	0.0759	0.10298	0.10824	0.05826	0.01612	0.00412	0.00154	0.00052	0.00014	4e-05	4e-05	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.45006  800.0  900.0  0.00056	0.00084	0.00146	0.0021	0.00226	0.00294	0.00352	0.0044	0.00568	0.00628	0.0081	0.00926	0.01076	0.01312	0.0162	0.01894	0.02312	0.02606	0.0335	0.04016	0.0513	0.06884	0.08882	0.1119	0.08818	0.0346	0.00758	0.0024	0.00084	0.00034	0.00014	4e-05	4e-05	2e-05	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.37028  900.0  1000.0  0.00052	0.0009	0.0011	0.00136	0.00172	0.0026	0.00284	0.0033	0.00476	0.00566	0.00608	0.00726	0.00878	0.01044	0.01232	0.01452	0.01816	0.02062	0.02618	0.0297	0.0383	0.04856	0.06044	0.08066	0.1074	0.10268	0.04994	0.01296	0.00346	0.0016	0.0004	0.0001	8e-05	2e-05	0.0	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.55114  1000.0  1200.0  0.0005	0.00046	0.00092	0.00102	0.00134	0.0017	0.00252	0.00262	0.00282	0.00368	0.00432	0.00572	0.00638	0.00794	0.00856	0.01136	0.01284	0.01588	0.01804	0.02256	0.027	0.03338	0.03998	0.05204	0.06784	0.08982	0.10448	0.08392	0.04042	0.01216	0.00312	0.00104	0.00058	0.00026	4e-05	0.0	6e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.36654  1200.0  1400.0  0.00022	0.00038	0.00048	0.00056	0.0008	0.0009	0.00144	0.00168	0.0018	0.00254	0.00302	0.00404	0.00404	0.00542	0.00612	0.00728	0.00868	0.01184	0.01308	0.01534	0.01768	0.02086	0.02604	0.03188	0.04	0.05062	0.0671	0.09002	0.10306	0.0834	0.04026	0.01336	0.00366	0.00118	0.00048	0.00012	0.00012	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
