#===============
# Experiment : ATLAS
# Search : 1906_05609
# ll~ : muvm
# qq~ : du~
# FF  : vector
# XY  :  LL RR
# coef : 0 0
# type : S1*S1 S3*S3
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
# 110.0 119.581 129.997 141.32 153.63 167.011 181.558 197.372 214.564 233.253 253.57 275.657 299.667 325.769 354.144 384.991 418.524 454.979 494.609 537.69 584.525 635.438 690.786 750.956 816.366 887.473 964.775 1048.81 1140.16 1239.47 1347.44 1464.8 1592.39 1731.09 1881.87 2045.79 2223.98 2417.69 2628.28 2857.21 3106.08 3376.63 3670.74 3990.47 4338.05 4715.91 5126.68 5573.22 6058.67 6586.39 7160.08 7783.74 8461.73 9198.76 10000.0 
1.4734  200.0  300.0  0.00398	0.00888	0.0143	0.02012	0.0262	0.03596	0.04928	0.06518	0.0709	0.06388	0.05238	0.02826	0.00626	0.00068	0.0001	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.28708  300.0  400.0  0.00166	0.00396	0.00592	0.00846	0.01052	0.01462	0.01802	0.02332	0.02798	0.03774	0.0482	0.0721	0.09074	0.07936	0.05586	0.0175	0.00236	0.00032	0.0001	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1.1043  400.0  500.0  0.00104	0.00212	0.00318	0.0047	0.00508	0.00696	0.0095	0.0117	0.01498	0.01758	0.02274	0.0297	0.03808	0.04994	0.0731	0.09918	0.09502	0.05662	0.01342	0.00214	0.0004	6e-05	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.94014  500.0  600.0  0.00054	0.001	0.00184	0.00242	0.0032	0.00502	0.00576	0.00688	0.0085	0.01132	0.01446	0.01674	0.0215	0.02636	0.03608	0.04546	0.06254	0.09088	0.11078	0.08048	0.02518	0.0031	0.00084	0.00016	6e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.7955  600.0  700.0  0.00034	0.00054	0.00128	0.00128	0.00176	0.00268	0.00388	0.00466	0.0054	0.00754	0.0097	0.01162	0.01526	0.01782	0.02416	0.02936	0.03864	0.04782	0.06348	0.08898	0.11432	0.07906	0.02308	0.0042	0.00106	0.00014	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.66908  700.0  800.0  0.00018	0.00056	0.00072	0.00104	0.00128	0.00206	0.0025	0.00348	0.00448	0.00532	0.00608	0.00856	0.00898	0.0129	0.0164	0.0207	0.02472	0.03358	0.04052	0.0536	0.07204	0.09794	0.11368	0.05888	0.01464	0.00274	0.00058	0.00022	4e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.55832  800.0  900.0  0.0001	0.0004	0.00044	0.00052	0.00086	0.0011	0.00186	0.00236	0.00302	0.00334	0.00492	0.00568	0.00822	0.01008	0.01184	0.01406	0.0186	0.02418	0.02936	0.03852	0.04542	0.06058	0.08366	0.11354	0.09426	0.03262	0.00634	0.00164	0.00042	0.00016	2e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.46482  900.0  1000.0  0.00012	0.00026	0.00052	0.00042	0.00086	0.001	0.00132	0.00156	0.00208	0.00244	0.00346	0.00446	0.00602	0.00674	0.00948	0.01152	0.01488	0.01856	0.0228	0.0283	0.03448	0.0449	0.05626	0.07568	0.10556	0.10476	0.05188	0.01228	0.00282	0.00082	0.00034	4e-05	6e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.70164  1000.0  1200.0  0.00014	0.00016	0.0002	0.00028	0.00044	0.0005	0.00058	0.00124	0.00116	0.00166	0.00216	0.00308	0.00408	0.00442	0.006	0.00786	0.0097	0.01254	0.01566	0.01936	0.02454	0.03076	0.03842	0.04832	0.06488	0.08598	0.1044	0.086	0.04236	0.01158	0.00324	0.00094	0.00024	0.00012	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.47496  1200.0  1400.0  8e-05	6e-05	0.00014	8e-05	0.00018	0.00042	0.00048	0.00082	0.00074	0.00118	0.0013	0.0019	0.00212	0.0028	0.00382	0.00546	0.00756	0.00914	0.01104	0.01284	0.01538	0.02046	0.02598	0.03056	0.03738	0.04758	0.06352	0.08636	0.10468	0.08526	0.04148	0.01336	0.0031	0.00122	0.00038	0.00014	4e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
