#===============
# Experiment : ATLAS
# Search : 1906_05609
# ll~ : eve
# qq~ : sc~
# FF  : vector
# XY  :  LL RR
# coef : 0 0
# type : W*Reg
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
# 130.0 138.982 148.585 158.852 169.828 181.562 194.107 207.519 221.857 237.186 253.575 271.095 289.827 309.852 331.261 354.15 378.62 404.781 432.749 462.65 494.616 528.792 565.329 604.39 646.15 690.796 738.526 789.555 844.109 902.433 964.786 1031.45 1102.72 1178.91 1260.36 1347.45 1440.55 1540.09 1646.5 1760.26 1881.89 2011.92 2150.93 2299.55 2458.43 2628.3 2809.9 3004.05 3211.62 3433.52 3670.76 3924.39 4195.55 4485.44 4795.36 5126.69 5480.92 5859.63 6264.5 6697.34 7160.09 7654.82 8183.73 8749.18 9353.71 10000.0 
21.952  200.0  300.0  2e-05	2e-05	8e-05	6e-05	4e-05	4e-05	4e-05	0.00018	0.00016	0.00038	0.00058	0.00098	0.0013	0.00188	0.00406	0.01046	0.05262	0.12784	0.12974	0.11752	0.098	0.07986	0.05382	0.01048	0.00208	0.00054	0.00042	0.00014	0.0001	2e-05	2e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
6.1128  300.0  400.0  2e-05	0.0	0.0	0.0	6e-05	0.0	4e-05	0.0	4e-05	2e-05	8e-05	8e-05	0.00012	0.00018	0.00018	0.00028	0.00052	0.00068	0.0009	0.0018	0.00358	0.00908	0.0533	0.17598	0.16872	0.13748	0.10886	0.03076	0.00356	0.00092	0.00036	0.0002	0.00012	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
2.1756  400.0  500.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	2e-05	4e-05	2e-05	6e-05	0.00016	0.00014	0.00024	8e-05	0.00014	0.00034	0.00032	0.0005	0.00064	0.00122	0.0025	0.00588	0.02678	0.18688	0.20996	0.17048	0.08038	0.00634	0.0015	0.00052	8e-05	0.0001	2e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.89455  500.0  600.0  0.0	0.0	2e-05	2e-05	2e-05	0.0	0.0	2e-05	0.0	0.0	2e-05	2e-05	4e-05	2e-05	2e-05	2e-05	0.00012	6e-05	0.00012	0.00012	0.00012	8e-05	0.00032	0.0004	0.00042	0.0007	0.00116	0.00146	0.00418	0.013	0.15012	0.2534	0.20046	0.05794	0.004	0.00084	0.00044	0.00014	4e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.40649  600.0  700.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	2e-05	0.0	0.0	2e-05	4e-05	2e-05	6e-05	6e-05	6e-05	0.00012	0.00016	0.0002	0.00028	0.00032	0.00024	0.00048	0.00054	0.00122	0.00192	0.00474	0.02182	0.24088	0.27608	0.12962	0.00618	0.00116	0.00036	8e-05	6e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.19853  700.0  800.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	4e-05	2e-05	0.0	0.0	6e-05	6e-05	4e-05	0.0001	4e-05	0.00012	0.0001	0.0002	0.0001	0.00018	0.0002	0.00042	0.00028	0.00052	0.00102	0.00316	0.01218	0.17732	0.32436	0.1556	0.00662	0.0011	0.00028	0.00012	4e-05	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.1018  800.0  900.0  0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	4e-05	2e-05	2e-05	4e-05	6e-05	0.00012	4e-05	0.00012	4e-05	2e-05	0.00012	0.00026	0.00022	0.00052	0.00038	0.00042	0.00152	0.00254	0.01086	0.19838	0.35754	0.1068	0.00396	0.00058	0.00022	2e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.003413  900.0  1000.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	2e-05	0.0	0.0	4e-05	0.0	2e-05	0.0	8e-05	6e-05	4e-05	4e-05	8e-05	4e-05	8e-05	4e-05	0.00014	0.0001	0.00026	0.0003	0.00028	0.0003	0.00056	0.001	0.00304	0.01806	0.31286	0.3259	0.0193	0.0013	0.00022	0.00012	0.0	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.003  1000.0  1200.0  0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-05	0.0	4e-05	4e-05	0.0	4e-05	4e-05	2e-05	0.0	6e-05	0.0001	0.00014	0.0	6e-05	4e-05	8e-05	0.00018	0.00022	0.00056	0.0006	0.00104	0.00354	0.05544	0.29388	0.22626	0.10876	0.00268	0.00038	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.001029  1200.0  1400.0  0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	2e-05	0.0	8e-05	2e-05	4e-05	0.0	2e-05	4e-05	6e-05	8e-05	2e-05	0.00012	0.00018	0.00014	0.00014	0.0002	0.00034	0.00032	0.00064	0.00132	0.00522	0.14616	0.32144	0.2068	0.00902	0.00048	4e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
