ARXIV,arXiv:2205.06709,https://arxiv.org/abs/2205.06709,,,,,,,,,,,,,,
SOURCE,Figure 2a,http://cms-results.web.cern.ch/cms-results/public-results/publications/EXO-19-014/CMS-EXO-19-014_Figure_002-a.pdf,,,,,,,,,,,,,,
DESCRIPTION,The invariant mass distribution of electron-muon events.,,,,,,,,,,,,,,,
EXPERIMENT,CMS,,,,,,,,,,,,,,,
PROCESS,p p > e \[Mu],,,,,,,,,,,,,,,
FINALSTATE,"{e[1],e[2]} | {e[2],e[1]}",,,,,,,,,,,,,,,
OBSERVABLE,"\!\(\*SubscriptBox[\(m\), \(e\[Mu]\)]\)",,,,,,,,,,,,,,,
LUMINOSITY,138,,,,,,,,,,,,,,,
CM_ENERGY,13000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BINS_MLL,200,300,400,500,600,725,800,900,1000,1100,1200,1400,1700,2000,2400,3000
BINS_PT,0,Infinity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mll [GeV] LOW,mll [GeV] HIGH,NUM EVENTS,stat +-,BKG NUM EVENTS,BKG tot. error,tot. (sys+stat) error,,,,,,,,,,
200,250,65078,255.1039,71318.3562,1782.9589,1801.1164,,,,,,,,,,
250,300,33816,183.8913,36557.8378,913.9459,932.2624,,,,,,,,,,
300,350,18702,136.7553,19686.3158,738.2368,750.7967,,,,,,,,,,
350,400,10343,101.7005,10887.3684,408.2763,420.7524,,,,,,,,,,
400,450,5720,75.6307,6021.0526,301.0526,310.4073,,,,,,,,,,
450,500,3367,58.0259,3640,182,191.0262,,,,,,,,,,
500,550,2045,45.2217,2152.6316,134.5395,141.9361,,,,,,,,,,
550,600,1322,36.3593,1338.7342,83.6709,91.2295,,,,,,,,,,
600,650,854,29.2233,864.8101,64.8608,71.1401,,,,,,,,,,
650,725,731,27.037,731,63.9625,69.4421,,,,,,,,,,
725,800,417,20.4206,422.2785,36.9494,42.2168,,,,,,,,,,
800,900,255,15.9687,287.3239,28.7324,32.8717,,,,,,,,,,
900,1000,125,11.1803,147.0588,16.5441,19.9677,,,,,,,,,,
1000,1100,73,8.544,77.8667,11.68,14.4714,,,,,,,,,,
1100,1200,37,6.0828,44.1791,6.6269,8.9953,,,,,,,,,,
1200,1300,18,4.2426,25.7143,4.1786,5.9549,,,,,,,,,,
1300,1400,14,3.7417,13.1765,4.1176,5.5637,,,,,,,,,,
1400,1550,10,3.1623,13.3333,3.6667,4.8419,,,,,,,,,,
1550,1700,5,2.2361,6.4516,1.371,2.6229,,,,,,,,,,
1700,1850,3,1.7321,2.8916,0.8675,1.9371,,,,,,,,,,
1850,2000,1,1,2.1622,0.8649,1.3221,,,,,,,,,,
2000,2200,1,1,1.0256,0.359,1.0625,,,,,,,,,,
2200,2400,0,0,0.4883,0.1465,0.1465,,,,,,,,,,
2400,2700,0,0,0.3157,0.1302,0.1302,,,,,,,,,,
2700,3000,0,0,0.2105,0.1053,0.1053,,,,,,,,,,
